Price,Adj Close,Close,High,Low,Open,Volume,Daily Return,Cumulative Return
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,
Date,,,,,,,,
2020-09-24,10760.06640625,10760.06640625,10771.056640625,10231.490234375,10248.7861328125,47144380902,0.050153282066164984,1.1757845939174645
2020-09-25,10692.716796875,10692.716796875,10777.6962890625,10578.9140625,10761.109375,39348590957,-0.006259218747560857,1.168425100944123
2020-09-26,10750.7236328125,10750.7236328125,10772.9990234375,10667.28125,10695.5751953125,46852525493,0.005424892199001441,1.1747636811593523
2020-09-27,10775.26953125,10775.26953125,10803.9765625,10622.921875,10746.892578125,53745972818,0.0022831856976197606,1.1774458847942584
2020-09-28,10709.65234375,10709.65234375,10945.34765625,10703.8935546875,10776.61328125,47762394731,-0.006089609852421796,1.1702756987335217
2020-09-29,10844.640625,10844.640625,10860.0009765625,10649.4951171875,10709.650390625,46582396602,0.012604356977915954,1.185026271402939
2020-09-30,10784.4912109375,10784.4912109375,10847.2568359375,10669.3212890625,10843.87109375,44171073700,-0.00554646448346463,1.17845356527663
2020-10-01,10619.4521484375,10619.4521484375,10933.6240234375,10472.3564453125,10795.2548828125,40023134100,-0.015303370300178809,1.1604192539856357
2020-10-02,10575.974609375,10575.974609375,10657.837890625,10416.689453125,10619.8212890625,48661453918,-0.00409414143543152,1.1556683334354205
2020-10-03,10549.3291015625,10549.3291015625,10598.9404296875,10511.1298828125,10575.1005859375,44660271563,-0.0025194375739971964,1.1527566992130847
2020-10-04,10669.5830078125,10669.5830078125,10686.0,10534.3916015625,10550.4404296875,71251776995,0.011399199427022166,1.1658972027182504
2020-10-05,10793.33984375,10793.33984375,10793.5078125,10634.6005859375,10676.529296875,47537578009,0.01159903211277169,1.17942048181277
2020-10-06,10604.40625,10604.40625,10797.578125,10528.890625,10796.306640625,42623695307,-0.017504646058134066,1.1587751437249236
2020-10-07,10668.96875,10668.96875,10680.5078125,10562.5068359375,10603.35546875,37799458436,0.0060882710901424275,1.1658300809324398
2020-10-08,10915.685546875,10915.685546875,10945.7373046875,10562.6064453125,10669.37109375,63314794397,0.023124708925124526,1.1927895622101568
2020-10-09,11064.4580078125,11064.4580078125,11102.671875,10846.8505859375,10927.9130859375,22799117613,0.013629236597062944,1.2090463733640262
2020-10-10,11296.361328125,11296.361328125,11442.2109375,11056.9404296875,11059.142578125,22877978588,0.02095930231275278,1.2343871418135002
2020-10-11,11384.181640625,11384.181640625,11428.8134765625,11288.6279296875,11296.08203125,19968627060,0.0077742124166433335,1.2439835296583315
2020-10-12,11555.36328125,11555.36328125,11698.4677734375,11240.6865234375,11392.6357421875,26163972642,0.01503679807902314,1.2626890588074342
2020-10-13,11425.8994140625,11425.8994140625,11548.984375,11321.224609375,11548.7197265625,24241420251,-0.011203790312466544,1.24854215536271
2020-10-14,11429.5068359375,11429.5068359375,11539.9775390625,11307.8310546875,11429.0478515625,24103426719,0.0003157232305546209,1.2489363491254848
2020-10-15,11495.349609375,11495.349609375,11569.9140625,11303.603515625,11426.6025390625,24487233058,0.005760771167350187,1.2561311856353825
2020-10-16,11322.123046875,11322.123046875,11540.0615234375,11223.0126953125,11502.828125,25635480772,-0.01506927308750361,1.2372022017653133
2020-10-17,11358.1015625,11358.1015625,11386.26171875,11285.345703125,11322.123046875,19130430174,0.0031777181254826203,1.24113368162675
2020-10-18,11483.359375,11483.359375,11483.359375,11347.578125,11355.982421875,18283314340,0.011028058853915557,1.2548209769133067
2020-10-19,11742.037109375,11742.037109375,11799.0927734375,11408.2900390625,11495.0380859375,23860769928,0.02252631185070797,1.283087465556066
2020-10-20,11916.3349609375,11916.3349609375,11999.91796875,11681.48046875,11745.974609375,30915821592,0.014843919324981414,1.302133512381675
2020-10-21,12823.689453125,12823.689453125,13184.56640625,11900.9287109375,11913.0771484375,43414712626,0.07614375520341321,1.401282847790626
2020-10-22,12965.8916015625,12965.8916015625,13161.59375,12717.09375,12801.6357421875,34729759598,0.011089019970212055,1.416821701273692
2020-10-23,12931.5390625,12931.5390625,13015.9619140625,12752.6474609375,12971.548828125,28974975003,-0.0026494544392426933,1.4130678967276369
2020-10-24,13108.0625,13108.0625,13145.06640625,12885.7470703125,12931.57421875,24542317940,0.0136506131750318,1.4323571399759216
2020-10-25,13031.173828125,13031.173828125,13329.18359375,12910.0615234375,13108.0634765625,24406920575,-0.0058657541398662305,1.423955285152341
2020-10-26,13075.248046875,13075.248046875,13225.2978515625,12822.3828125,13031.201171875,29461458313,0.003382214014740148,1.4287714066741466
2020-10-27,13654.21875,13654.21875,13759.6689453125,13060.837890625,13075.2421875,33749878156,0.04427990207523247,1.4920372646495699
2020-10-28,13271.28515625,13271.28515625,13837.6953125,12932.2509765625,13654.21484375,35867318895,-0.02804507535445777,1.4501929671308136
2020-10-29,13437.8828125,13437.8828125,13612.0478515625,12980.0595703125,13271.298828125,56499499598,0.012553242153156674,1.4683975906160114
2020-10-30,13546.5224609375,13546.5224609375,13651.5166015625,13136.1982421875,13437.8740234375,30581485201,0.00808458072996765,1.4802689694810365
2020-10-31,13780.9951171875,13780.9951171875,14028.2138671875,13457.5302734375,13546.5322265625,30306464719,0.01730869726353168,1.5058904969423839
2020-11-01,13737.109375,13737.109375,13862.033203125,13628.3779296875,13780.9951171875,24453857900,-0.003184511845067406,1.5010949708174963
2020-11-02,13550.4892578125,13550.4892578125,13808.3232421875,13243.16015625,13737.0322265625,30771455468,-0.013585108198026608,1.480702433223427
2020-11-03,13950.30078125,13950.30078125,13984.9814453125,13325.44140625,13550.451171875,29869951617,0.02950532012761009,1.5243910325294154
2020-11-04,14133.70703125,14133.70703125,14218.7666015625,13580.4716796875,13950.48828125,35116364962,0.013147117963686394,1.5444323812568654
2020-11-05,15579.8486328125,15579.8486328125,15706.404296875,14102.0888671875,14133.7333984375,40856321439,0.10231863433740651,1.7024565933335367
2020-11-06,15565.880859375,15565.880859375,15903.4375,15226.83984375,15579.7294921875,39837841971,-0.0008965281862933772,1.700930293011672
2020-11-07,14833.75390625,14833.75390625,15737.095703125,14423.203125,15565.880859375,35024953706,-0.0470340843373509,1.6209285941582061
2020-11-08,15479.5673828125,15479.5673828125,15637.3203125,14744.1103515625,14833.75390625,26632075029,0.04353675277640923,1.6914985616302844
2020-11-09,15332.3154296875,15332.3154296875,15785.13671875,14865.529296875,15479.595703125,34149115566,-0.009512665921690977,1.6754079009064748
2020-11-10,15290.90234375,15290.90234375,15450.3291015625,15124.9599609375,15332.3505859375,25574938143,-0.0027010327388199418,1.670882569315249
2020-11-11,15701.33984375,15701.33984375,15916.2607421875,15290.0068359375,15290.9091796875,29772374934,0.02684194109497806,1.7157323008174343
2020-11-12,16276.34375,16276.34375,16305.00390625,15534.771484375,15701.298828125,34175758344,0.03662132734990031,1.7785646950504672
2020-11-13,16317.80859375,16317.80859375,16463.177734375,15992.15234375,16276.4404296875,31599492172,0.002547552717421464,1.7830956823724529
2020-11-14,16068.138671875,16068.138671875,16317.80859375,15749.193359375,16317.80859375,27481710135,-0.015300456580341737,1.7558135043057184
2020-11-15,15955.587890625,15955.587890625,16123.1103515625,15793.5341796875,16068.1396484375,23653867583,-0.007004593596581565,1.7435147442766672
2020-11-16,16716.111328125,16716.111328125,16816.181640625,15880.7060546875,15955.5771484375,31526766675,0.04766502135260464,1.8266194117911956
2020-11-17,17645.40625,17645.40625,17782.919921875,16564.544921875,16685.69140625,39006849170,0.05559276937282975,1.9281662434828375
2020-11-18,17804.005859375,17804.005859375,18393.94921875,17352.90625,17645.19140625,49064800278,0.008988152900985202,1.9454968964977795
2020-11-19,17817.08984375,17817.08984375,18119.546875,17382.5546875,17803.861328125,36985055355,0.0007348899162549216,1.9469266225491209
2020-11-20,18621.314453125,18621.314453125,18773.2265625,17765.794921875,17817.083984375,36992873940,0.045137820846602006,2.034806647639223
2020-11-21,18642.232421875,18642.232421875,18936.62109375,18444.359375,18621.31640625,39650210707,0.0011233347035009,2.03709241656143
2020-11-22,18370.001953125,18370.001953125,18688.96875,17671.384765625,18642.232421875,41280434226,-0.014602889964538845,2.007344980154787
2020-11-23,18364.12109375,18364.12109375,18711.42578125,18000.796875,18370.017578125,42741112308,-0.000320133845930215,2.006702361086181
2020-11-24,19107.46484375,19107.46484375,19348.271484375,18128.65625,18365.015625,51469565009,0.040478046632625775,2.0879297528360277
2020-11-25,18732.12109375,18732.12109375,19390.96484375,18581.146484375,19104.41015625,43710357371,-0.01964382784787766,2.046914820212855
2020-11-26,17150.623046875,17150.623046875,18866.28515625,16351.03515625,18729.83984375,61396835737,-0.08442706722639481,1.8740998050800406
2020-11-27,17108.40234375,17108.40234375,17445.0234375,16526.423828125,17153.9140625,38886494645,-0.0024617591448197196,1.86948622274658
2020-11-28,17717.4140625,17717.4140625,17853.939453125,16910.65234375,17112.93359375,32601040734,0.03559722915754793,1.9360347522245687
2020-11-29,18177.484375,18177.484375,18283.62890625,17559.1171875,17719.634765625,31133957704,0.02596712538731971,1.9863080093897925
2020-11-30,19625.8359375,19625.8359375,19749.263671875,18178.322265625,18178.322265625,47728480399,0.07967832801396635,2.144573710498721
2020-12-01,18802.998046875,18802.998046875,19845.974609375,18321.921875,19633.76953125,49633658712,-0.04192625951044282,2.0546597565730784
